";",Data Split: 2020-0211-162925. Split using: Random Split. Calibration data percentage=70%. Original File: C:\Users\Robbie\Dropbox\Rice\Research\AOX_BalCal\ARTIFICIAL DATA\MC60E-LargeArtificial-NoisyPerfect-2018.csv,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
";;",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"FILE_TYPE",DATA_FOR_ITERATIVE_REGRESSION_ANALYSIS,,,,,,,,,,,,,,
"BALANCE_NAME",MC60-E (5F1M),,,,,,,,,,,,,,
"DESCRIPTION",Artificial data set for tare calculation validation,,,,,,,,,,,,,,
"; load and output symbols",,,,,,,,,,,,,,,
"",,,,N1,N2,S1,S2,RM,AF,rN1,rN2,rS1,rS2,rRM,rAF
"; units",,,,,,,,,,,,,,,
"",,,,lbs,lbs,lbs,lbs,in-lbs,lbs,microV/V,microV/V,microV/V,microV/V,microV/V,microV/V
"; capacities",,,,,,,,,,,,,,,
"",,,,2500,2500,1250,1250,5000,700,,,,,,
"; natural zeros",,,,,,,,,,,,,,,
"",NZ-01,A,0,,,,,,,4.325865872,26.30290488,-45.44918518,-6.935785441,-0.934355198,-11.71784321
"",NZ-01,A,90,,,,,,,14.49801624,32.0415646,-38.56710684,-4.548625763,-0.192859068,-11.05230656
"",NZ-01,A,180,,,,,,,29.90687984,31.50236678,-51.74866066,-2.201179354,0.991150765,-10.88120819
"",NZ-01,A,270,,,,,,,9.669238049,31.75316374,-39.43504732,-3.514409442,-0.6639365,-11.14864204
";",,,,,,,,,,,,,,,
"; data for analysis (series 1 = load series number, series 2 = natural zero series number)",,,,,,,,,,,,,,,
";",Point ID,Series1,Series2,N1,N2,S1,S2,RM,AF,rN1,rN2,rS1,rS2,rRM,rAF
"",P-0001,1,A,-0.011150605,-0.333212317,0.104352666,-0.108326443,-0.334246644,-0.123484836,8.1696631,32.83026,-43.594008,-5.1734329,1.6613133,-11.117991
"",P-0002,1,A,-834.4700322,0.621756236,-0.013793061,-0.229833834,1.536520885,0.149516046,-343.9303369,7.121926667,-27.644008,-59.44009957,-21.4386867,-16.467991
"",P-0004,1,A,-2504.64048,2.095018595,-0.125912882,-0.469944395,2.039944211,0.095729621,-1048.130337,-44.29474,4.255992,-167.9734329,-67.6386867,-27.167991
"",P-0005,1,A,-2003.23353,1.555505615,0.007497405,-0.213550512,2.230183689,0.192218077,-836.8703369,-28.86974,-5.314008,-135.4134329,-53.7786867,-23.957991
"",P-0006,1,A,-1502.121983,1.361288929,-0.132923464,-0.404452987,1.569555285,0.08826341,-625.6103369,-13.44474,-14.884008,-102.8534329,-39.9186867,-20.747991
"",P-0007,1,A,-1001.639326,1.016942366,-0.043397351,-0.037610791,1.416162086,0.213211808,-414.3503369,1.98026,-24.454008,-70.2934329,-26.0586867,-17.537991
"",P-0010,1,A,499.2145518,0.187600715,-0.270025033,-0.218538144,0.889719219,0.003166091,221.0000911,47.741478,-53.745648,28.0651471,13.5243493,-7.316657
"",P-0011,1,A,998.788349,0.557217478,0.033894529,-0.137478496,0.514054514,0.069437993,433.8800911,62.636478,-63.915648,61.3251471,25.3243493,-3.496657
