";",Data Split: 2020-0123-115941. Split using: Random Split. Calibration data percentage=70%. Original File: C:\Users\Robbie\Dropbox\Rice\Research\AOX_BalCal\ARTIFICIAL DATA\MC60E-LargeArtificial-2018.csv,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
";;",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
"FILE_TYPE",DATA_FOR_ITERATIVE_REGRESSION_ANALYSIS,,,,,,,,,,,,,,
"BALANCE_NAME",MC60-E (5F1M),,,,,,,,,,,,,,
"DESCRIPTION",Artificial data set for tare calculation validation,,,,,,,,,,,,,,
"; load and output symbols",,,,,,,,,,,,,,,
"",,,,N1,N2,S1,S2,RM,AF,rN1,rN2,rS1,rS2,rRM,rAF
"; units",,,,,,,,,,,,,,,
"",,,,lbs,lbs,lbs,lbs,in-lbs,lbs,microV/V,microV/V,microV/V,microV/V,microV/V,microV/V
"; capacities",,,,,,,,,,,,,,,
"",,,,2500,2500,1250,1250,5000,700,,,,,,
"; natural zeros",,,,,,,,,,,,,,,
"",NZ-01,A,0,,,,,,,4.325865872,26.30290488,-45.44918518,-6.935785441,-0.934355198,-11.71784321
"",NZ-01,A,90,,,,,,,14.49801624,32.0415646,-38.56710684,-4.548625763,-0.192859068,-11.05230656
"",NZ-01,A,180,,,,,,,29.90687984,31.50236678,-51.74866066,-2.201179354,0.991150765,-10.88120819
"",NZ-01,A,270,,,,,,,9.669238049,31.75316374,-39.43504732,-3.514409442,-0.6639365,-11.14864204
";",,,,,,,,,,,,,,,
"; data for analysis (series 1 = load series number, series 2 = natural zero series number)",,,,,,,,,,,,,,,
";",Point ID,Series1,Series2,N1,N2,S1,S2,RM,AF,rN1,rN2,rS1,rS2,rRM,rAF
"",P-0001,1,1,0,0,0,0,0,0,8.639711094,33.24822561,-43.18546657,-6.323909631,2.464812624,-11.4089308
"",P-0002,1,1,-833.3333333,0,0,0,0,0,-344.7755777,7.293228362,-27.72533957,-59.79489687,-21.61583989,-15.87873149
"",P-0003,1,1,-1666.666667,0,0,0,0,0,-695.5282698,-18.66924922,-11.79467659,-114.2492093,-45.11154609,-21.40253611
"",P-0004,1,1,-2500,0,0,0,0,0,-1046.989172,-45.19732552,5.008330689,-168.5290453,-68.03454537,-26.95868483
"",P-0005,1,1,-2000,0,0,0,0,0,-836.5281113,-28.82944545,-4.122475677,-135.6352182,-53.68265467,-23.52376269
"",P-0008,1,1,-500,0,0,0,0,0,-203.3027455,17.36590094,-32.44835628,-37.43871346,-11.47492287,-12.46347954
"",P-0009,1,1,0,0,0,0,0,0,8.375373127,32.6834838,-43.60148255,-4.06358483,1.326036997,-9.817513955
"",P-0011,1,1,1000,0,0,0,0,0,434.501968,63.3311106,-64.33218271,61.4157179,25.31388816,-4.874846689
"",P-0012,1,1,1500,0,0,0,0,0,645.957142,77.93484894,-74.60061671,95.34535911,36.94623501,-0.072097913
"",P-0013,1,1,2000,0,0,0,0,0,858.8918818,93.34052664,-84.19846146,129.4060579,48.98433858,3.221293333
"",P-0015,1,1,1666.666667,0,0,0,0,0,715.6590922,81.89127572,-78.77653534,106.2656748,41.44099353,0.855795602
"",P-0016,1,1,833.3333333,0,0,0,0,0,363.9269573,57.60503331,-61.42506882,49.66868459,23.22981511,-5.077969453
"",P-0017,1,1,0,0,0,0,0,0,8.397296478,33.79850974,-43.28866648,-6.047358571,0.301228476,-10.08347028
"",P-0018,2,1,0,0,0,0,0,0,7.247989677,33.63431196,-42.64601204,-5.754145194,0.156717079,-12.004177
"",P-0020,2,1,0,-1666.666667,0,0,0,0,13.90316467,-700.5285566,-43.66379879,5.698615908,-22.06538219,-14.46207892
"",P-0021,2,1,0,-2500,0,0,0,0,18.71298979,-1067.600197,-46.98325554,12.13614481,-34.11893584,-15.51817156
"",P-0023,2,1,0,-1500,0,0,0,0,14.58800422,-626.809754,-45.03729384,6.255555625,-20.93928685,-13.5760071
"",P-0024,2,1,0,-1000,0,0,0,0,12.37356052,-407.795197,-44.85691756,2.674978007,-12.21255734,-13.0653981
"",P-0025,2,1,0,-500,0,0,0,0,9.339143558,-187.3499497,-44.26293577,-1.278700692,-5.890537582,-11.8145312
"",P-0027,2,1,0,500,0,0,0,0,8.941024187,251.4177277,-43.26008498,-7.37894781,6.639321001,-10.56367368
